pk,title,album,artist,year,apple,spotify,tidal
39,September in the Rain,September in the Rain,George Shearing,1950,september-in-the-rain/1443755587?i=1443755895,1yFqpPQ3uT28gCxt2n3yxj,35999821
40,C-Jam Blues,Night Train,Oscar Peterson Trio,1963,c-jam-blues/1440721546?i=1440721549,4aThNuFztJ15YremppiZUJ,3701017
41,Song for Darnell (Live),"Live at the Kennedy Center, Vol. 2",Mulgrew Miller Trio,2006,song-for-darnell-live-feat-the-mulgrew-miller-trio/1092738194?i=1092738195,5u0uMm7Mgu81nyhJGwq7O2,58248137
42,Roll ’em,A Keyboard History,Mary Lou Williams,1955,roll-em/656988747?i=656988906,2fVMRsjTh9K7byCG6YkFWb,30533798
43,Boogie Woogie Stomp,,Albert Ammons,1936,boogie-woogie-stomp/957541392?i=957541438,6Pu6Ukt3FgEqjRvtN4UJgr,40927088
44,Musicmagic,Return to Forever,Return to Forever,1977,musicmagic/305043225?i=305043230,15aLTmE8qtE4wb4Gvz2IWN,306
45,Blame It On My Youth,"The Art of the Trio, Vol. 1",Brad Mehldau,1997,blame-it-on-my-youth/358124890?i=358124895,1i6PhtGyfiWmnDg6BBaigZ,3462823
46,50 Ways to Leave Your Lover,Day is Done (Deluxe Version),Brad Mehldau Trio,2005,50-ways-to-leave-your-lover/80428774?i=80428668,6aulD0Sz6jIvHPu1uOGV7e,288876
47,A Ghost of a Chance,Solo Piano: The Keystone Transcriptions c.1939-1940,Teddy Wilson,1939,a-ghost-of-a-chance/272294777?i=272294808,5PM7N7U7wqFhRP9I5qgCiP,4808871
48,Body and Soul (Take 2),,Benny Goodman Trio,1935,body-and-soul/299542349?i=299542463,6QLdWvoWr8FSuRpYFkwS9s,2989556
